album	albums
ami	amis
année	années
application	applications
arbre	arbres
bureau	bureaux
chanson	chansons
chose	choses
client	clients
collège	collèges
conseil	conseils
dieu	dieux
différence	différences
département	départements
développement	développements
exemple	exemples
fait	faits
gouvernement	gouvernements
heure	heures
idée	idées
joueur	joueurs
jour	jours
langue	langues
loi	lois
membre	membres
nuit	nuits
pomme	pommes
population	populations
problème	problèmes
produit	produits
période	périodes
ressource	ressources
rivière	rivières
route	routes
rue	rues
réalisateur	réalisateurs
rôle	rôles
science	sciences
semaine	semaines
site	sites
solution	solutions
système	systèmes
utilisateur	utilisateurs
version	versions
village	villages
ville	villes
voiture	voitures
zone	zones
étudiant	étudiants
événement	événements
