agneau	agneaux
ail	aulx
arsenal	arsenaux
aval	avals
aïeul	aïeux
bail	baux
bal	bals
beau	beaux
bijou	bijoux
bleu	bleus
boyau	boyaux
caillou	cailloux
carnaval	carnavals
chacal	chacals
chameau	chameaux
cheval	chevaux
chou	choux
ciel	cieux
corail	coraux
cou	cous
doudou	doudous
détail	détails
festival	festivals
fléau	fléaux
fou	fous
genou	genoux
hibou	hiboux
idéal	idéaux
jeu	jeux
joujou	joujoux
journal	journaux
landau	landaus
madame	mesdames
mademoiselle	mesdemoiselles
mal	maux
monseigneur	messeigneurs
monsieur	messieurs
neveu	neveux
nouveau	nouveaux
oeil	yeux
pneu	pneus
portail	portails
pou	poux
récital	récitals
sarrau	sarraus
travail	travaux
tribunal	tribunaux
tuyau	tuyaux
vitrail	vitraux
émail	émaux
