accompagné	accompagnée
actif	active
adroit	adroite
agité	agitée
attentionné	attentionnée
beau	belle
blond	blonde
chanceux	chanceuse
cher	chère
clair	claire
compliqué	compliquée
disgracieux	disgracieuse
droit	droite
dur	dure
dégoûtant	dégoûtante
désapprouvé	désapprouvée
engagé	engagée
ennuyeux	ennuyeuse
expert	experte
expiré	expirée
gracieux	gracieuse
grand	grande
gratuit	gratuite
grossier	grossière
inactif	inactive
inexpérimenté	inexpérimentée
instruit	instruite
inventif	inventive
joyeux	joyeuse
maladroit	maladroite
malchanceux	malchanceuse
marrant	marrante
mignon	mignonne
mort	morte
occupé	occupée
passif	passive
petit	petite
précieux	précieuse
roux	rousse
sacré	sacrée
serré	serrée
soigneux	soigneuse
soigné	soignée
sécurisé	sécurisée
tordu	tordue
vieux	vielle
vivant	vivante
âgé	âgée
éduqué	éduquée
éternel	éternelle
