ample	amplissime
anglais	anglissime
beau	bellissime
brillant	brillantissime
charmant	charmantissime
chic	chicissime
culte	cultissime
célèbre	célébrissime
drôle	drôlissime
dur	durissime
excellent	excellentissime
fervent	ferventissime
gigantesque	gigantissime
glauque	glauquissime
grand	grandissime
grave	gravissime
génial	génialissime
important	importantissime
kitsch	kitschissime
large	largissime
lent	lentissime
moderne	modernissime
nul	nullissime
rare	rarissime
riche	richissime
ridicule	ridiculissime
savant	savantissime
simple	simplissime
snob	snobissime
sublime	sublimissime
urgent	urgentissime
élégant	élégantissime
énorme	énormissime
