accepter	accepte
accorder	accorde
ajouter	ajoute
améliorer	améliore
apparaître	apparaît
appliquer	applique
apprendre	apprend
arriver	arrive
assurer	assure
atteindre	atteint
comprendre	comprend
considérer	considère
consister	consiste
contenir	contient
continuer	continue
croire	croit
créer	crée
demander	demande
devenir	devient
dire	dit
décrire	décrit
développer	développe
entendre	entend
envoyer	envoie
exiger	exige
exister	existe
expliquer	explique
fonctionner	fonctionne
fournir	fournit
identifier	identifie
impliquer	implique
maintenir	maintient
parler	parle
permettre	permet
produire	produit
profiter	profite
promouvoir	promeut
protéger	protège
prévenir	prévient
rappeler	rappelle
recevoir	reçoit
représenter	représente
rester	reste
réduire	réduit
référer	réfère
sembler	semble
suggérer	suggère
suivre	suit
écouter	écoute
éviter	évite
