ajouter	ajoutant
améliorer	améliorant
apparaître	appaissant
appliquer	appliquant
apprendre	apprenant
arriver	arrivant
assister	assistant
assurer	assurant
atteindre	atteignant
attendre	attendant
comprendre	comprenant
contenir	contenant
croire	croyant
créer	créant
demander	demandant
devenir	devenant
dire	disant
dépenser	dépensant
développer	développant
effectuer	effectuant
encourager	encourageant
enseigner	enseignant
envisager	envisageant
exiger	exigeant
exister	existant
fonctionner	fonctionnant
fournir	fournissant
gérer	gérant
identifier	identifiant
impliquer	impliquant
inclure	incluant
maintenir	maintenant
parler	parlant
perdre	perdant
permettre	permettant
profiter	profitant
promouvoir	promouvant
protéger	protégeant
prévenir	prévenant
ranger	rangeant
rappeler	rappelant
recevoir	recevant
représenter	représentant
rester	restant
réduire	réduisant
référer	référant
sembler	semblant
suivre	suivant
établir	établissant
éviter	évitant
