ajouter	ajouté
améliorer	amélioré
apparaître	apparu
appliquer	appliqué
apprendre	appris
arriver	arrivé
assister	assisté
assurer	assuré
atteindre	atteint
attendre	attendu
comprendre	compris
contenir	contenu
croire	cru
créer	créé
demander	demandé
devenir	devenu
dire	dit
dépenser	dépensé
développer	développé
effectuer	effectué
encourager	encouragé
enseigner	enseigné
envisager	envisagé
exiger	exigé
exister	existé
fonctionner	fonctionné
fournir	fourni
gérer	géré
identifier	identifié
impliquer	impliqué
inclure	inclus
maintenir	maintenu
parler	parlé
perdre	perdu
permettre	permis
profiter	profité
promouvoir	promu
protéger	protégé
prévenir	prévenu
ranger	rangé
rappeler	rappelé
recevoir	reçu
représenter	représenté
rester	resté
réduire	réduit
référer	référé
sembler	semblé
suivre	suivi
établir	établi
éviter	évité
