ajoutant	ajoute
améliorant	améliore
annonçant	annonce
apparaissant	apparaît
appliquant	applique
apprenant	apprend
arrivant	arrive
comprenant	comprend
considérant	considère
consistant	consiste
contenant	contient
continuant	continue
croyant	croit
créant	crée
demandant	demande
devenant	devient
disant	dit
découvrant	découvre
décrivant	décrit
dépendant	dépend
dépensant	dépense
développant	développe
effectuant	effectue
enseignant	enseigne
entendant	entend
existant	existe
expliquant	explique
fonctionnant	fonctionne
fournissant	fournit
gérant	gère
impliquant	implique
lisant	lit
nécessitant	nécessite
parlant	parle
perdant	perd
permettant	permet
produisant	produit
promouvant	promeut
publiant	publie
rapportant	rapporte
recevant	reçoit
remerciant	remercie
représentant	représente
restant	reste
réduisant	réduit
référant	réfère
semblant	semble
suggérant	suggère
suivant	suit
écoutant	écoute
