accordant	accordé
ajoutant	ajouté
améliorant	amélioré
annonçant	annoncé
apparaissant	apparu
appliquant	appliqué
assistant	assisté
attendant	attendu
comprenant	compris
considérant	considéré
contenant	contenu
continuant	continué
créant	créé
demandant	demandé
devenant	devenu
disant	dit
décidant	décidé
décrivant	décrit
dépensant	dépensé
développant	développé
enseignant	enseigné
entendant	entendu
envoyant	envoyé
exigeant	exigé
existant	existé
exploitant	exploité
exécutant	exécuté
fournissant	fourni
gérant	géré
impliquant	impliqué
incluant	inclus
introduction	introduit
liant	lié
nommant	nommé
perdant	perdu
permettant	permis
proposant	proposé
publiant	publiée
ratant	raté
recevant	reçu
remplaçant	remplacé
représentant	représenté
restant	resté
réduisant	réduit
situant	situé
souffrant	souffert
suivant	suivi
unissant	uni
épousant	épousé
établissant	établi
