accepte	accepté
aime	aimé
ajoute	ajouté
annonce	annoncé
apparait	apparu
applique	appliqué
apprend	appris
attend	attendu
compose	composé
comprend	compris
considère	considéré
contient	contenu
continue	continué
croit	cru
crée	créé
demande	demandé
devient	devenu
décide	décidé
dépense	dépensé
développe	développé
déçoit	déçu
entend	entendu
envoie	envoyé
exploite	exploité
exécute	exécuté
fournit	fourni
gère	géré
implique	impliqué
lit	lu
localise	localisé
marie	marié
nomme	nommé
parle	parlé
pense	pensé
perd	perdu
permet	permis
propose	proposé
publie	publié
remplace	remplacé
représente	représenté
requiert	requis
reste	resté
reçoit	reçu
semble	semblé
suggère	suggéré
suit	suivi
utilise	utilisé
voit	vu
échoue	échoué
établit	établi
