accident	accidentel
année	annuel
artifice	artificiel
artère	artériel
aspect	aspectuel
attention	attentionnel
caractère	caractériel
catégorie	catégoriel
circonstance	circonstanciel
concept	conceptuel
condition	conditionnel
conflit	conflictuel
constitution	constitutionnel
contexte	contextuel
contrat	contractuel
convention	conventionnel
conversation	conversationnel
corps	corporel
correction	correctionnel
culture	culturel
cérémonie	cérémoniel
dimension	dimensionnel
direction	directionnel
décision	décisionnel
dévotion	dévotionnel
exception	exceptionnel
existence	existentiel
fiction	fictionnel
fonction	fonctionnel
fusion	fusionnel
indice	indiciel
individu	individuel
industrie	industriel
information	informationnel
instinct	instinctuel
institution	institutionnel
intention	intentionnel
mort	mortel
nature	naturel
nutrition	nutritionnel
obsession	obsessionnel
occasion	occasionnel
occupation	occupationnel
sensation	sensationnel
sexe	sexuel
temps	temporel
texte	textuel
éducation	éducationnel
émotion	émotionnel
événement	événementiel
