acceptable	inacceptable
achevé	inachevé
actif	inactif
adaptable	inadaptable
admissible	inadmissible
adéquat	inadéquat
amical	inamical
aperçu	inaperçu
approprié	inapproprié
apte	inapte
associable	inassociable
attendu	inattendu
avoué	inavoué
brûlé	imbrûlé
capable	incapable
cassable	incassable
certain	incertain
changé	inchangé
conditionnel	inconditionnel
confortable	inconfortable
connu	inconnu
conscient	inconscient
correct	incorrect
croyable	incroyable
disponible	indisponible
désirable	indésirable
espéré	inespéré
habituel	inhabituel
imitable	inimitable
interrompu	ininterrompu
intéressant	inintéressant
limité	illimité
lisible	illisible
logique	illogique
légal	illégal
mature	immature
oubliable	inoubliable
pair	impair
partial	impartial
populaire	impopulaire
possible	impossible
prévisible	imprévisible
responsable	irresponsable
réaliste	irréaliste
satisfaisant	insatisfaisant
utile	inutile
utilisable	inutilisable
utilisé	inutilisé
volontaire	involontaire
évitable	inévitable
