apparent	apparemment
assidu	assidûment
aveugle	aveuglément
bref	brièvement
bruyant	bruyamment
clinique	cliniquement
conforme	conformément
conscient	consciemment
constant	constamment
craintif	craintivement
culturel	culturellement
différent	différemment
décidé	décidément
efficace	efficacement
extensif	extensivement
financier	financièrement
fort	fortement
frais	fraichement
gentil	gentiment
global	globalement
historique	historiquement
immédiat	immédiatement
indu	indûment
intense	intensément
international	internationalement
lent	lentement
légal	légalement
magnifique	magnifiquement
mental	mentalement
méchant	méchamment
numérique	numériquement
physique	physiquement
politique	politiquement
pratique	pratiquement
profond	profondément
prudent	prudemment
précis	précisément
précédent	précédemment
rare	rarement
régional	régionalement
sexuel	sexuellement
sérieux	sérieusement
traditionnel	traditionnellement
typique	typiquement
ultérieur	ultérieurement
unique	uniquement
virtuel	virtuellement
visuel	visuellement
énorme	énormément
évident	évidemment
