abondant	surabondant
aigu	suraigu
alimenté	suralimenté
calciné	surcalciné
chargé	surchargé
chauffé	surchauffé
classé	surclassé
compensé	surcompensé
complet	surcomplet
composé	surcomposé
comprimé	surcomprimé
connecté	surconnecté
critique	surcritique
cuit	surcuit
côté	surcôté
dimensionné	surdimensionné
doué	surdoué
développé	surdéveloppé
emballé	suremballé
endetté	surendetté
estimé	surestimé
excitant	surexcitant
excité	surexcité
exposé	surexposé
fait	surfait
gonflé	surgonflé
humain	surhumain
informé	surinformé
joué	surjoué
naturel	surnaturel
occupé	suroccupé
peuplé	surpeuplé
producteur	surproducteur
protecteur	surprotecteur
protégé	surprotégé
puissant	surpuissant
qualifié	surqualifié
représenté	surreprésenté
réaliste	surréaliste
réel	surréel
régulé	surrégulé
saturé	sursaturé
souscrit	sursouscrit
tendu	surtendu
utilisé	surutilisé
vendu	survendu
vitaminé	survitaminé
éclairé	suréclairé
épicé	surépicé
évalué	surévalué
