attentionné	attention
attractif	attractivité
bruyant	bruit
cassé	cassure
compétitif	compétition/compétitivité
connecté	connectivité/connexion
conscient	conscience
créatif	créativité
dangereux	danger/dangerosité
dirigé	direction/directivité
distinct	distinction
dévoué	dévouement
effectif	efficacité
extensif	extensivité
faible	faiblesse
fascinant	fascination
fatiguant	fatigue
fixe	fixité
fort	force
fou	folie
gentil	gentillesse
grand	grandeur
immense	immensité
innovant	innovation
intelligent	intelligence
intéressant	intérêt
juste	justesse/justice
lent	lenteur
long	longueur
lourd	lourdeur
marqué	marquage/marque
massif	massivité
pauvre	pauvreté
propre	propreté
préparé	préparation
pure	pureté
raisonnable	raison
rapide	rapidité
rare	rareté
riche	richesse
sale	saleté
serviable	serviabilité
similaire	similitude
situé	situation
triste	tristesse
unique	unicité
utile	utilité
énorme	énormité
étrange	étrangeté
évident	évidence
