acquérir	racquérir/réacquérir
ajuster	rajuster/réajuster
apparaître	réapparaître
appliquer	rappliquer/réappliquer
apprendre	rapprendre/réapprendre
assigner	réassigner
calculer	recalculer
conduire	reconduire
configurer	reconfigurer
confirmer	reconfirmer
connecter	reconnecter
considérer	reconsidérer
créer	recréer
distribuer	redistribuer
décorer	redécorer
découvrir	redécouvrir
définir	redéfinir
développer	redévelopper
engager	rengager/réengager
envoyer	renvoyer
essayer	ressayer/réessayer
examiner	réexaminer
fendre	refendre
former	reformer/réformer
gagner	regagner
générer	régénérer
installer	réinstaller
interpréter	réinterpréter
introduire	réintroduire
intégrer	réintégrer
investir	réinvestir
juger	rejuger
lancer	relancer
lire	relire
localiser	relocaliser
manger	remanger
négocier	renégocier
organiser	réorganiser
partir	repartir
perdre	reperdre
placer	replacer
publier	republier
tailler	retailler
taper	retaper
tendre	retendre
verser	reverser
écrire	récrire/réécrire
émerger	réémerger
établir	rétablir/réétablir
évaluer	réévaluer
