aborder	abordable
accepter	acceptable
adapter	adaptable
admirer	admirable
adorer	adorable
aimer	aimable
ajuster	ajustable
améliorer	améliorable
apprécier	appréciable
atteindre	atteignable
boire	buvable
comprendre	compréhensible
compter	comptable
considérer	considérable
durer	durable
découvrir	découvrable
définir	définissable
expliquer	explicable
exécuter	exécutable
gonfler	gonflable
gérer	gérable
identifier	identifiable
imaginer	imaginable
jeter	jetable
livrer	livrable
maintenir	maintenable
modifier	modifiable
observer	observable
passer	passable
plier	pliable
porter	portable
profiter	profitable
prédire	prévisible
préférer	préférable
prévoir	prévisible
publier	publiable
recommander	recommandable
reconnaître	reconnaissable
remplacer	remplaçable
renouveler	renouvelable
représenter	représentable
réaliser	réalisable
régler	réglable
saluer	saluable
sembler	semblable
soutenir	soutenable
télécharger	téléchargeable
varier	variable
étendre	extensible
éviter	évitable
