amuser	amuseur
annoncer	annonceur
assembler	assembleur
boire	buveur
chasser	chasseur
composer	compositeur
conduire	conducteur
consommer	consommateur
conter	conteur
dessiner	dessinateur
découvrir	découvreur
défendre	défenseur
détruire	destructeur
développer	développeur
emprunter	emprunteur
envoyer	envoyeur
examiner	examinateur
explorer	explorateur
fournir	fournisseur
imprimer	imprimeur
interviewer	intervieweur
laver	laveur
lire	lecteur
livrer	livreur
louer	loueur
manger	mangeur
mener	meneur
miner	mineur
nager	nageur
nouer	noueur
observer	observateur
organiser	organisateur
paver	paveur
payer	payeur
peser	peseur
pleurer	pleureur
poser	poseur
prier	prieur
promouvoir	promoteur
prêcher	prêcheur
pécher	pécheur
pêcher	pêcheur
rager	rageur
ramer	rameur
raser	raseur
râler	râleur
suivre	suiveur
traduire	traducteur
tuer	tueur
éditer	éditeur
