accuser	accusation
admirer	admiration
alléguer	allégation
aspirer	aspiration
autoriser	autorisation
caractériser	caractérisation
civiliser	civilisation
coloniser	colonisation
compiler	compilation
condenser	condensation
configurer	configuration
consulter	consultation
déclarer	déclaration
dégrader	dégradation
dériver	dérivation
déterminer	détermination
examiner	examination
expirer	expiration
explorer	exploration
fasciner	fascination
imaginer	imagination
improviser	improvisation
inspirer	inspiration
installer	installation
joindre	jonction
maximiser	maximisation
minimiser	minimisation
moderniser	modernisation
normaliser	normalisation
obliger	obligation
observer	observation
occuper	occupation
optimiser	optimisation
organiser	organisation
paraître	parution
personnaliser	personnalisation
privatiser	privatisation
priver	privation
préparer	préparation
randomiser	randomisation
restaurer	restauration
réaliser	réalisation
réorganiser	réorganisation
spécialiser	spécialisation
stabiliser	stabilisation
tracter	traction
transpirer	transpiration
utiliser	utilisation
visualiser	visualisation
évoluer	évolution
