allaiter	allaitement
amuser	amusement
apaiser	apaisement
assujettir	assujettissement
attendrir	attendrissement
bégayer	bégaiement/bégayement
classer	classement
commencer	commencement
convertir	convertissement
doubler	doublement
déborder	débordement
déguiser	déguisement
encadrer	encadrement
enchérir	enchérissement
enfouir	enfouissement
enrouler	enroulement
fonder	fondement
franchir	franchissement
froisser	froissement
fusionner	fusionnement
grelotter	grelottement
grogner	grognement
grouper	groupement
gémir	gémissement
harceler	harcèlement
hocher	hochement
hurler	hurlement
investir	investissement
juger	jugement
licencier	licenciement
marteler	martèlement
noircir	noircissement
panser	pansement
peupler	peuplement
piétiner	piétinement
pétiller	pétillement
raccourcir	raccourcissement
rapprocher	rapprochement
rattacher	rattachement
ravitailler	ravitaillement
renoncer	renoncement
renouer	renouement
ronchonner	ronchonnement
ronfler	ronflement
ronronner	ronronnement
rougir	rougissement
terrasser	terrassement
éloigner	éloignement
épuiser	épuisement
étioler	étiolement
