Abuja	Nigeria
Amman	Jordanie
Ankara	Turquie
Athènes	Grèce
Bagdad	Irak
Bangkok	Thaïlande
Belgrade	Serbie
Berlin	Allemagne
Berne	Suisse
Beyrouth	Liban
Bruxelles	Belgique
Bucarest	Roumanie
Budapest	Hongrie
Canberra	Australie
Conakry	Ginée
Copenhague	Danemark
Damas	Syrie
Dhaka	Bangladesh
Dublin	Irlande
Hanoi	Vietnam
Helsinki	Finlande
Islamabad	Pakistan
Jakarta	Indonésie
Kaboul	Afghanistan
Kiev	Ukraine
Kingston	Jamaïque
Lima	Pérou
Lisbonne	Portugal
Ljubjana	Slovénie
Londres	Angleterre/Grande-Bretagne/Royaume-Uni
Madrid	Espagne
Manille	Philippines
Moscou	Russie
Nairobi	Kenya
Oslo	Norvège
Ottawa	Canada
Paris	France
Pékin	Chine
Rome	Italie
Santiago	Chili
Sofia	Bulgarie
Stockholm	Suède
Taipei	Taiwan
Tbilisi	Géorgie
Tokyo	Japon
Téhéran	Iran
Varsovie	Pologne
Vienne	Autriche
Washington	USA/États-Unis
Zagreb	Croatie
