Andorre	catalan
Argentine	espagnol
Australie	anglais
Autriche	allemand
Bahamas	anglais
Bangladesh	bangla/bengali
Barbade	anglais
Belize	anglais
Bolivie	espagnol
Brésil	portugais
Cambodge	khmer
Canada	anglais/français
Chili	espagnol
Chypre	grec/turc
Colombie	espagnol
Cuba	espagnol
Danemark	allemand/danois/féroïen/groenlandais
Fidji	anglais
Guadeloupe	français
Guam	anglais/chamorro
Guatemala	espagnol
Guyana	anglais
Haïti	créole/français
Irak	arabe/kurde
Iran	persan
Irlande	anglais/gaélique/irlandais
Israël	arabe/hébreu
Jamaïque	anglais/créole
Jordan	arabe
Kazakhstan	kazak/qazaq/russe
Kosovo	albanais/serbe
Koweït	arabe
Maroc	arabe/berbère
Mexique	espagnol/nahuatl
Moldavie	moldave/roumain
Mozambique	portugais
Nicaragua	espagnol
Norvège	bokmal/bokmål/norvégien/nynorsk
Palestine	arabe
Pays-Bas	frison/néerlandais
Philippines	philippin/tagalog
Pérou	espagnol
Suisse	allemand/français/italien/romanche
Syrie	arabe
Taiwan	chinois
Vénézuela	espagnol
Égypte	arabe
Équateur	espagnol/quechua
États-Unis	anglais
Éthiopie	amharique
