Alençon	Orne
Amiens	Somme
Angers	Maine-et-Loire
Angoulême	Charente
Auch	Gers
Aurillac	Cantal
Auxerre	Yonne
Avignon	Vaucluse
Beauvais	Oise
Besançon	Doubs
Bordeaux	Gironde
Bourg-en-Bresse	Ain
Bourges	Cher
Caen	Calvados
Cahors	Lot
Carcassonne	Aude
Chambéry	Savoie
Charleville-Mézières	Ardennes
Châteauroux	Indre
Foix	Ariège
Grenoble	Isère
Guéret	Creuse
Laon	Aisne
Laval	Mayenne
Lille	Nord
Limoges	Haute-Vienne
Lyon	Rhône
Marseille	Bouches-du-Rhône
Mende	Lozère
Metz	Moselle
Montpellier	Hérault
Moulins	Allier
Nancy	Meurthe-et-Moselle
Nevers	Nièvre
Nîmes	Gard
Orléans	Loiret
Poitiers	Vienne
Priva	Ardèche
Périgueux	Dordogne
Quimper	Finistère
Rodez	Aveyron
Saint-Étienne	Loire
Toulon	Var
Troyes	Aube
Tulle	Corrèze
Valence	Drôme
Vannes	Morbihan
Versailles	Yvelines
Épinal	Vosge
Évreux	Eure
