Andersen	auteur/poète/écrivain
Aristote	philosophe
Balzac	romancier/écrivain
Beethoven	compositeur
Colomb	explorateur
Confucius	philosophe
César	chef/commandant/empereur
Dante	poète
Darwin	biologiste/géologue/naturaliste
Depp	acteur/musicien/producteur
Descartes	mathématicien/philosophe
Dickens	auteur/critique/romancier/écrivain
Edison	inventeur
Einstein	physicien/scientifique
Euler	astronome/ingénieur/logicien/mathématicien/physicien
Goethe	auteur/dramaturge/poète/romancier/écrivain
Hawking	physicien/scientifique
Haydn	compositeur
Hegel	philosophe
Hitler	dictateur/politicien
Hume	philosophe/politicien
Jolie	actrice/humanitaire/militante/réalisatrice
Kant	philosophe
Kepler	astrologue/astronome/mathématicien/physicien
Lincoln	président
Locke	philosophe
Marx	communiste/philosophe
Maxwell	physicien/scientifique
Mencius	philosophe
Michel-Ange	architecte/artiste/ingénieur/peintre/poète/sculpteur
Mozart	compositeur
Moïse	meneur/prophète
Napoléon	chef/commandant/empereur/politicien
Newton	mathématicien/philosophe/physiciste/scientifique
Pacino	acteur/cinéaste/réalisateur
Pascal	mathématicien/philosophe
Picasso	artiste/designer/peintre/sculpteur
Platon	philosophe
Raphaël	architecte/artiste/peintre
Rembrandt	artiste/graveur/peintre
Rousseau	auteur/philosophe/écrivain
Schwarzenegger	acteur/gouverneur/politicien
Shakespeare	dramaturge/poète
Spinoza	philosophe
Staline	chef/dictateur/politicien
Strauss	compositeur
Tolstoï	philosophe/romancier/écrivain
Truman	président
Wagner	compositeur
Wittgenstein	philosophe
