abeille	nid/ruche
araignée	aquarium/terrarium/toile
babouin	arbre/bosquet/cage
baleine	mer/océan/sanctuaire
bovin	étable
cafard	nid
canard	nid/étang
castor	barrage/enclos/rivière
chauve-souris	cage/grotte
cheval	corral/enclos/gamme/écurie
chien	chenil/maison/niche/tanière
chimpanzé	arbre/bosquet/cage
chinchilla	cage/nid
coq	poulailler
corbeau	cage/nid
criquet	nid
crocodile	lac/piscine/rivière
dauphin	mer/océan/sanctuaire
fourmi	formicarium/fourmilière/insectarium/terrarium
frelon	nid
gorille	arbre/bosquet/cage
guêpe	nid
hamster	cage/nid
hareng	mer/océan/sanctuaire
hippopotame	enclos/lac/rivière
hérisson	enclos/haie/nid
insecte	boîte/cage/nid
lapin	cage/clapier/garenne/huche/terrier
lion	cage/savane/tanière
loup	cage/tanière
marmotte	trou
mouche	nid
mouton	bergerie
ours	cage/tanière
phoque	aquarium/mer
poisson	aquarium/ferme/lac/mer/océan/rivière/sanctuaire
porc	enclos/porcherie
poule	poulailler
rat	cage/nid
renard	cage/terrier
scorpion	aquarium/nid/rerrarium
serpent	aquarium/fosse/nid
singe	arbre/bosquet/cage
souris	cage/nid/trou
taupe	nid/trou
termite	colline/termitière/terrarium
tigre	antre/cage/tanière
truie	enclos/porcherie
truite	aquarium/lac/rivière/réservoir/sanctuaire/étang
âne	asinerie/corral/enclos/gamme/écurie
