acteur	actrice
beau-père	belle-mère
brebis	bélier
chanteur	chanteuse
chat	chatte
chien	chienne
coiffeur	coiffeuse
coq	poule
cousin	cousine
dieu	déesse
directeur	directrice
duc	duchesse
empereur	impératrice
fils	fille
frère	soeur
garçon	fille
gentleman	lady
grand-père	grand-mère
homme	femme
héritier	héritière
héros	héroïne
lion	lionne
marchand	marchande
mari	femme
marié	mariée
masseur	masseuse
meurtrier	meurtrière
monsieur	Mme/madame
neveu	nièce
oncle	tante
papa	maman
papy	mamie/mamy
petit-fils	petite-fille
policier	policière
poète	poétesse
prince	princesse
président	présidente
père	mère
pêcheur	pêcheuse
roi	reine
sanglier	laie
sculpteur	sculpteure/sculpteuse/sculptrice
serveur	serveuse
superman	superwoman
taureau	vache
tigre	tigresse
tueur	tueuse
valet	servante
époux	épouse
étalon	jument
