acier	carbone/cémentite/fer/ferrite/perlite
argent	argent/cuivre/fer/métal/or/papier/étain
atmosphère	azote/gaz/hydrogène/oxygène/ozone
barbe	poils
bol	acier/aluminium/bois/plastique/porcelaine/verre
bonbon	candi/chocolat/fruits/gélatine/miel/mélasse/noix/nougat/sirop/sucre
botte	cuir/tissu
bouteille	plastique/verre
boîte	bois/carton/étain
bronze	cuivre/étain
bureau	acier/bois/métal
béton	ciment/eau/sable/silicium
centime	alliage/bronze/cuivre/métal/nickel/zinc/étain
chocolat	cacao/fèves
cocktail	alcool/eau/jus
confiture	berges/fruits/sucre
corps	chair/os
cuillère	acier/aluminium/bois
diamant	carbone
drapeau	papier/tissu
eau	h2o/hydrogène/oxygène
gazon	herbe
glace	eau/h2o/hydrogène/oxygène
glacier	eau/glace/h2o/hydrogène/oxygène
habit	cuir/tissu
jeans	denim/tissu
lentille	plastique/verre
maison	argile/bois/briques/ciment
mer	eau
miroir	bronze/verre
mur	argile/bois/boue/briques/carton/ciment/pierres/planche/roches
neige	eau/flocon/glace/h2o/hydrogène/oxygène
nuage	eau/vapeur
océan	eau
omelette	fromage/lait/œuf/œufs
pain	farine/levure
perruque	cheveux
pilule	médicament
plage	cailloux/galet/galets/roches/sable/silicium
plastique	charbon/gaz/polymère/pétrole
poignée	acier/bois/bronze/métal
pâtisserie	beurre/farine/garniture/œuf
sac	cuir/plastique/tissu
stalactite	eau/glace
table	bois/métal/plastique
toit	bardeaux/bois/métal/tuiles
verre	sable/silicone
vin	raisin/raisins
yaourt	lait
élastique	caoutchouc
