abondant	déficient/insuffisant/rare
accepter	refuser/rejeter
amusant	chiant/ennuyeux
ancien	neuf/nouveau
beau	défiguré/déplaisant/hideux/monstrueux/repoussant/répulsif
blanc	foncé/noir
bronzé	pâle
bruyant	muet/silencieux
calme	agité/énervé
capable	incapable/incompétent
chaud	frigide/froid/givré
clair	blanc/blanchi/décoloré/délavé/gris/neutre/pâle/sombre/émoussé/étiolé
coloré	blanc/blanchâtre/ciblé/cireux/délavé/incolore/lavé/neutre/pâle/rouge/étiolé
commun	extraordinaire/rare
compétent	incompétent/inefficace
concerné	blasé/détaché/indifférent/insouciant/nonchalant
conscient	endormi/ignorant/inattentif/inconscient/indifférent/insensible/insouciant
cuit	cru/frais/mi-cuit/saignant
dangereux	sécurisé/sûr
difficile	aisé/facile
dur	coussiné/doux/duveteux/laineux/moelleux/rembourré
familier	inconnu/étranger
gazeux	béton/coagulé/congelé/dur/gelé/gélifié/sec/semisolide/solide/solidifié/séché
grand	atomique/diminutif/lilliputien/micro/microscopique/miniature/minuscule/nain/petit/subatomique
gras	anorexique/maigre/mince/squelettique
généreux	avare
heureux	douloureux/doux-amer/déplorable/déprimant/lamentable/mélancolique/soucieux/tragicomique/tragique/triste
introverti	extraverti/extroverti/sociable
intéressant	chiant/ennuyant/ennuyeux/mortel/soporifique
jeune	ancien/centenaire/gaga/sénile/vieilli/vieux/âgé
large	fin/étroit
lent	express/instantané/rapide
long	abrégé/bref/coupé/court/momentané/raccourci/simultané/tronqué
manquant	abondant/disponible
normal	aberrant/anormal/atypique/exceptionnel/inhabituel/insensé/irrégulier
nouveau	ancien/vieux
ouvert	barré/fermé
peu	beaucoup/énormément
plein	déchiqueté/dépouillé/vide
proche	lointain/éloigné
propre	crasseux/impur/sale/souillé
riche	pauvre
résolu	hésitant/indécis/irrésolu
sec	boueux/humide/marécageux/mouillé/trempé
silence	bruit/cacophonie
simple	compliqué/difficile/exigeant
sincère	faux/hypocrite/lèche-bottes/malhonnête/obséquieux/sycophantique
somptueux	délabré/modeste
triste	exalté/extatique/heureux/joyeux
éveillé	assoupi/endormi
