aimer	détester
alphabète	analphabète
antérieur	postérieur
après	avant
augmentation	diminution
avant	arrière/derrière
beau	laid
calme	bruyant
chute	montée
court	long
dedans	dehors
descendre	grimper/monter
descente	montée
dessus	dessous
dynamique	immobile/statique
début	conclusion/dernier/fin/final
employer	licencier
entrer	sortir
entrée	sortie
facile	difficile
faible	fort
fermer	ouvrir
hausse	baisse/chute
haut	bas
heureux	malheureux
inférieur	supérieur
inhaler	exhaler
interne	externe
intérieur	extérieur
joie	tristesse
jour	nuit
léger	lourd
maigre	gros
monter	descendre
mort	vivant
mortel	immortel
méchant	gentil
noir	blanc
occupé	libre/vacant
ouest	est
pleurer	rire
premier	conclusion/dernier/fin/final
proche	lointain
rapide	lent
sortie	entrée
soulever	déposer
sous	sur
sud	nord
tôt	tard
vrai	erroné/faux/incorrect
