amico	amici
anno	anni
antologia	antologie
applicazione	applicazioni
area	aree
canzone	canzoni
cliente	clienti
consiglio	consigli
cosa	cose
differenza	differenze
dio	dèi
dipartimento	dipartimenti
direttore	direttori
esempio	esempi
evento	eventi
fatto	fatti
fazzoletto	fazzoletti
fiume	fiumi
giocatore	giocatori
giorno	giorni
governo	governi
idea	idee
legge	leggi
lingua	lingue
membro	membri
mese	mesi
morto	morti
notte	notti
ora	ore
periodo	periodi
popolazione	popolazioni
problema	problemi
prodotto	prodotti
risorsa	risorse
ruolo	ruoli
scienza	scienze
scuola	scuole
settimana	settimane
sistema	sistemi
sito	siti
soluzione	soluzioni
strada	strade
studente	studenti
sviluppo	sviluppi
televisione	televisioni
ufficio	uffici
utente	utenti
versione	versioni
via	vie
villaggio	villaggi
