accademia	accademie
agenzia	agenzie
asciugamano	asciugamani
azienda	aziende
bambino	bambini
base	basi
biblioteca	biblioteche
bicchiere	bicchieri
bottiglia	bottiglie
busto	busti
categoria	categorie
compito	compiti
contea	contee
costruzione	costruzioni
cuffia	cuffie
dato	dati
donna	donne
economia	economie
energia	energie
esercito	eserciti
famiglia	famiglie
formula	formule
industria	industrie
lago	laghi
macchina	macchine
maggioranza	maggioranze
moglie	mogli
nazione	nazioni
paese	paesi
perdita	perdite
politica	politiche
racchetta	racchette
ramo	rami
ricordo	ricordi
secolo	secoli
sedia	sedie
segretario	segretari
sicurezza	sicurezze
storia	storie
strategia	strategie
struttura	strutture
successo	successi
targa	targhe
tavolo	tavoli
tecnologia	tecnologie
teoria	teorie
valore	valori
varco	varchi
vita	vite
voce	voci
