accompagnato	accompagnata
allegro	allegra
antipatico	antipatica
anziano	anziana
attivo	attiva
biondo	bionda
calmo	calma
carino	carina
chiaro	chiara
colto	colta
complicato	complicata
costoso	costosa
disgustoso	disgustosa
disonesto	disonesta
duro	dura
economico	economica
educato	educata
esperto	esperta
fortunato	fortunata
impacciato	impacciata
impegnato	impegnata
inattivo	inattiva
inesperto	inesperta
insicuro	insicura
irrequieto	irrequieta
istruito	istruita
libero	libera
maleducato	maleducata
moro	mora
noioso	noiosa
occupato	occupata
onesto	onesta
ordinario	ordinaria
passivo	passiva
pregiato	pregiata
prezioso	preziosa
raro	rara
rigido	rigida
scaduto	scaduta
scuro	scura
sfortunato	sfortunata
sgarbato	sgarbata
sgraziato	sgraziata
spigliato	spigliata
stretto	stretta
stupido	stupida
tenero	tenera
timido	timida
trasandato	trasandata
valido	valida
