abile	abilissimo
affamato	affamatissimo
allegro	allegrissimo
arrabbiato	arrabbiatissimo
assolato	assolatissimo
bello	bellissimo
brutto	bruttissimo
caldo	caldissimo
carino	carinissimo
comodo	comodissimo
costoso	costosissimo
crudele	crudelissimo
debole	debolissimo
denso	densissimo
duro	durissimo
economico	economicissimo
felice	felicissimo
feroce	ferocissimo
forte	fortissimo
fortunato	fortunatissimo
gentile	gentilissimo
grande	grandissimo
gustoso	gustosissimo
intelligente	intelligentissimo
lucido	lucidissimo
lungo	lunghissimo
maleducato	maleducatissimo
noioso	noiosissimo
orgoglioso	orgogliosissimo
piccolo	piccolissimo
pigro	pigrissimo
pulito	pulitissimo
puro	purissimo
raro	rarissimo
ricco	ricchissimo
rigoroso	rigorosissimo
rischioso	rischiosissimo
robusto	robustissimo
rumoroso	rumorosissimo
sano	sanissimo
sensuale	sensualissimo
sottile	sottilissimo
spaventoso	spaventosissimo
spinoso	spinosissimo
strano	stranissimo
stupido	stupidissimo
tranquillo	tranquillissimo
triste	tristissimo
vago	vaghissimo
zozzo	zozzissimo
