abilitare	abilita
accadere	accade
accettare	accetta
aggiungere	aggiunge
apparire	appare
applicare	applica
ascoltare	ascolta
assicurare	assicura
avvenire	avviene
capire	capisce
chiedere	chiede
coinvolgere	coinvolge
concordare	concorda
consentire	consente
considerare	considera
consistere	consiste
consultare	consulta
contenere	contiene
continuare	continua
creare	crea
credere	crede
descrivere	descrive
dire	dice
diventare	diventa
esistere	esiste
evitare	evita
fornire	fornisce
godere	gode
identificare	identifica
imparare	impara
impedire	impedisce
includere	include
inviare	invia
mantenere	mantiene
migliorare	migliora
operare	opera
promuovere	promuove
proteggere	protegge
raggiungere	raggiunge
rappresentare	rappresenta
restare	resta
ricevere	riceve
richiedere	richiede
ricordare	ricorda
ridurre	riduce
seguire	segue
sembrare	sembra
spiegare	spiega
suggerire	suggerisce
sviluppare	sviluppa
