accadere	accadendo
aggiungere	aggiungendo
apparire	apparendo
applicare	applicando
aspettarsi	aspettandosi
capire	capendo
chiedere	chiedendo
coinvolgere	coinvolgendo
considerare	considerando
contenere	contenendo
continuare	continuando
creare	creando
credere	credendo
diventare	diventando
eseguire	eseguendo
esistere	esistendo
evitare	evitando
fornire	fornendo
frequentare	frequentando
garantire	garantendo
gestire	gestendo
godere	godendo
identificare	identificando
imparare	imparando
impedire	impedendo
includere	includendo
incoraggiare	incoraggiando
insegnare	insegnando
mantenere	mantenendo
migliorare	migliorando
operare	operando
perdere	perdendo
permettere	permettendo
promuovere	promuovendo
proteggere	proteggendo
raccontare	raccontando
raggiungere	raggiungendo
rappresentare	rappresentando
ricevere	ricevendo
richiedere	richiedendo
ricordare	ricordando
ridurre	riducendo
riferirsi	riferendosi
rimanere	rimanendo
sedersi	sedendosi
seguire	seguendo
sembrare	sembrando
stabilire	stabilendo
sviluppare	sviluppando
trascorrere	trascorrendo
