accettare	accettato
aggiungere	aggiunto
annunciare	annunciato
apparire	apparso
applicare	applicato
ascoltare	ascoltato
capire	capito
chiedere	chiesto
coinvolgere	coinvolto
concordare	concordato
considerare	considerato
continuare	continuato
creare	creato
credere	creduto
decidere	deciso
descrivere	descritto
diventare	diventato
eseguire	eseguito
fornire	fornito
frequentare	frequentato
garantire	garantito
gestire	gestito
godere	goduto
identificare	identificato
includere	incluso
individuare	individuato
introdurre	introdotto
ottimizzare	ottimizzato
perdere	perso
permettere	permesso
prevedere	previsto
pubblicare	pubblicato
raccontare	raccontato
raggiungere	raggiunto
rapportare	rapportato
ricevere	ricevuto
richiedere	richiesto
ridurre	ridotto
riferire	riferito
rimanere	rimasto
scoprire	scoperto
seguire	seguito
sembrare	sembrato
sostituire	sostituito
spedire	spedito
sposare	sposato
stabilire	stabilito
sviluppare	sviluppato
trascorrere	trascorso
unire	unito
