abilitando	abilita
aggiungendo	aggiunge
apparendo	appare
applicando	applica
apprendendo	apprende
avvenendo	avviene
capendo	capisce
chiedendo	chiede
coinvolgendo	coinvolge
considerando	considera
consistendo	consiste
contenendo	contiene
continuando	continua
creando	crea
credendo	crede
descrivendo	descrive
dicendo	dice
dipendendo	dipende
diventando	diventa
eseguendo	esegue
esistendo	esiste
fornendo	fornisce
gestendo	gestisce
includendo	include
insegnando	insegna
migliorando	migliora
operando	opera
perdendo	perde
permettendo	permette
promuovendo	promuove
pubblicando	pubblica
pubblicizzando	pubblicizza
rapportando	rapporta
rappresentando	rappresenta
ricevendo	riceve
richiedendo	richiede
riducendo	riduce
riferendo	riferisce
rimanendo	rimane
ringraziando	ringrazia
scoprendo	scopre
sedendo	siede
seguendo	segue
sembrando	sembra
sentendo	sente
spendendo	spende
spiegando	spiega
succedendo	succede
suggerendo	suggerisce
sviluppando	sviluppa
