aggiungendo	aggiunto
annunciando	annunciato
apparendo	apparso
applicando	applicato
capendo	capito
chiedendo	chiesto
coinvolgendo	coinvolto
collocando	collocato
concordando	concordato
considerando	considerato
contenendo	contenuto
continuando	continuato
creando	creato
decidendo	deciso
descrivendo	descritto
diventando	diventato
eseguendo	eseguito
esistendo	esistito
fallendo	fallito
fornendo	fornito
frequentando	frequentato
gestendo	gestito
includendo	incluso
insegnando	insegnato
introducendo	introdotto
inviando	inviato
migliorando	migliorato
nominando	nominato
operando	operato
perdendo	perso
permettendo	permesso
prevedendo	previsto
proponendo	proposto
pubblicando	pubblicato
raccontando	raccontato
rappresentando	rappresentato
relazionando	relazionato
ricevendo	ricevuto
richiedendo	richiesto
riducendo	ridotto
rimanendo	rimasto
seguendo	seguito
sentendo	sentito
soffrendo	sofferto
sostituendo	sostituito
spendendo	speso
sposando	sposato
stabilendo	stabilito
sviluppando	sviluppato
unendo	unito
