accade	accaduto
aggiunge	aggiunto
annuncia	annunciato
appare	apparso
applica	applicato
chiede	chiesto
coinvolge	coinvolto
colloca	collocato
concorda	concordato
consente	consentito
consiste	consistito
contiene	contenuto
continua	continuato
crea	creato
crede	creduto
decide	deciso
descrive	descritto
dice	detto
diventa	diventato
esegue	eseguito
fallisce	fallito
fornisce	fornito
gestisce	gestito
include	incluso
intende	inteso
introduce	introdotto
invia	inviato
nomina	nominato
opera	operato
perde	perso
prevede	previsto
propone	proposto
pubblica	pubblicato
rappresenta	rappresentato
relaziona	relazionato
resta	restato
riceve	ricevuto
richiede	richiesto
riferisce	riferito
ritiene	ritenuto
segue	seguito
sembra	sembrato
sente	sentito
sostituisce	sostituito
spende	speso
sposa	sposato
stabilisce	stabilito
succede	successo
suggerisce	suggerito
sviluppa	sviluppato
