agnello	agnellino
aiuto	aiutino
ampolla	ampollina
anello	anellino
appartamento	appartamentino
bandiera	bandierina
bicicletta	biciclettina
biscotto	biscottino
bisogno	bisognino
busta	bustina
campanello	campanellino
ciliegia	ciliegina
completo	completino
dado	dadino
dente	dentino
diamante	diamantino
domanda	domandina
elefante	elefantino
fazzoletto	fazzolettino
fidanzato	fidanzatino
finestra	finestrina
formica	formichina
fratello	fratellino
frittata	frittatina
gatto	gattino
gioiello	gioiellino
insalata	insalatina
letto	lettino
mutanda	mutandina
naso	nasino
nipote	nipotino
piatto	piattino
principe	principino
principessa	principessina
quadrato	quadratino
ragazzo	ragazzino
risata	risatina
ruscello	ruscellino
rutto	ruttino
sacchetto	sacchettino
salotto	salottino
salsa	salsina
sgabello	sgabellino
sorella	sorellina
stella	stellina
sugo	sughino
tavolo	tavolino
treccia	treccina
uccello	uccellino
visita	visitina
