accessibile	inaccessibile
accettabile	inaccettabile
adatto	inadatto
affidabile	inaffidabile
capace	incapace
certo	incerto
collegato	scollegato
comodo	scomodo
compiuto	incompiuto
condizionato	incondizionato
conosciuto	sconosciuto
consapevole	inconsapevole
conscio	inconscio
controllato	incontrollato
credibile	incredibile
desiderabile	indesiderabile
desiderato	indesiderato
dimenticabile	indimenticabile
disponibile	indisponibile
edito	inedito
evitabile	inevitabile
fausto	infausto
felice	infelice
fortunato	sfortunato
fruttuoso	infruttuoso
gradevole	sgradevole
grato	ingrato
interrotto	ininterrotto
legale	illegale
limitato	illimitato
motivato	immotivato
mutato	immutato
occupato	disoccupato
organizzato	disorganizzato
osservato	inosservato
parziale	imparziale
permeabile	impermeabile
popolare	impopolare
precisato	imprecisato
prevedibile	imprevedibile
previsto	imprevisto
ragionevole	irragionevole
realistico	irrealistico
risolto	irrisolto
sano	malsano
soddisfacente	insoddisfacente
solito	insolito
sostenibile	insostenibile
vano	invano
velato	svelato
