addizionale	addizionalmente
ampio	ampiamente
apparente	apparentemente
clinico	clinicamente
conscio	consciamente
conseguente	conseguentemente
creativo	creativamente
critico	criticamente
culturale	culturalmente
deciso	decisamente
digitale	digitalmente
diverso	diversamente
dolce	dolcemente
effettivo	effettivamente
efficace	efficacemente
enorme	enormemente
evidente	evidentemente
facile	facilmente
federale	federalmente
finanziario	finanziariamente
forte	fortemente
garbato	garbatamente
globale	globalmente
immediato	immediatamente
internazionale	internazionalmente
interno	internamente
legale	legalmente
magico	magicamente
magnifico	magnificamente
mentale	mentalmente
ovvio	ovviamente
piacevole	piacevolmente
politico	politicamente
popolare	popolarmente
potenziale	potenzialmente
pratico	praticamente
precedente	precedentemente
raro	raramente
reale	realmente
serio	seriamente
sessuale	sessualmente
significativo	significativamente
simile	similmente
storico	storicamente
successivo	successivamente
tipico	tipicamente
tradizionale	tradizionalmente
unico	unicamente
virtuale	virtualmente
visivo	visivamente
