abbondante	sovrabbondante
affaticato	sovraffaticato
affollato	sovraffollato
alimentato	sovralimentato
ammirabile	sovrammirabile
caricato	sovraccaricato
celeste	sovraceleste
comito	sovraccomito
critico	sovracritico
detto	sovraddetto
dimensionato	sovradimensionato
dosato	sovradosato
ecceduto	sovrecceduto
eccitato	sovreccitato
elevato	sovraelevato
esposto	sovresposto
fatturato	sovrafatturato
frequentato	sovrafrequentato
giungere	sovraggiungere
glottico	sovraglottico
imposto	sovrimposto
impresso	sovrimpresso
innestato	sovrinnestato
inteso	sovrinteso
maturo	sovramaturo
naturale	sovrannaturale
nazionale	sovranazionale
occupato	sovraoccupato
orbitale	sovraorbitale
ordinato	sovraordinato
performato	sovraperformato
pieno	sovrappieno
popolato	sovrappopolato
posto	sovrapposto
rappresentato	sovrarappresentato
razionale	sovrarazionale
regionale	sovraregionale
regolato	sovraregolato
riscaldato	sovrariscaldato
saturato	sovrasaturato
scritto	sovrascritto
sensibile	sovrasensibile
spinato	sovraspinato
stampato	sovrastampato
stato	sovrastato
sterzato	sovrasterzato
stimato	sovrastimato
sviluppato	sovrasviluppato
umano	sovrumano
utilizzato	sovrautilizzato
