ampio	ampiezza
attento	attenzione
attraente	attraenza
bizzarro	bizzarria
caldo	calore
casuale	casualità
collegato	collegamento
compatto	compattezza
competitivo	competitività
consapevole	consapevolezza
contento	contentezza
conveniente	convenienza
cosciente	coscienza
creativo	creatività
debole	debolezza
devoto	devozione
diretto	direzione
disponibile	disponibilità
distinto	distinzione
efficace	efficacia
enorme	enormità
esteso	estensione
evidente	evidenza
felice	felicità
fisso	fissità
folle	follia
giusto	giustizia
grave	gravità
imponente	imponenza
innovativo	innovatività
interessante	interessamento
locato	locazione
marcato	marcatezza
monotono	monotonia
pazzo	pazzia
pericoloso	pericolosità
piacevole	piacevolezza
preparato	preparazione
puro	purezza
ragionevole	ragionevolezza
raro	rarità
rotto	rottura
sacro	sacralità
simpatico	simpatia
splendido	splendidezza
strano	stranezza
triste	tristezza
unico	unicità
utile	utilità
vasto	vastità
