acquisire	riacquisire
acquistare	riacquistare
aggiustare	riaggiustare
apparire	riapparire
applicare	riapplicare
apprendere	riapprendere
arrangiare	riarrangiare
assegnare	riassegnare
assicurare	riassicurare
attivare	riattivare
calcolare	ricalcolare
caricare	ricaricare
collegare	ricollegare
comprare	ricomprare
confermare	riconfermare
configurare	riconfigurare
connettere	riconnettere
considerare	riconsiderare
creare	ricreare
decorare	ridecorare
definire	ridefinire
distribuire	ridistribuire
donare	ridonare
emergere	riemergere
esaminare	riesaminare
generare	rigenerare
imparare	rimparare
installare	reinstallare
integrare	reintegrare
interpretare	reinterpretare
introdurre	reintrodurre/rintrodurre
inventare	reinventare
investire	reinvestire
inviare	reinviare
mandare	rimandare
negoziare	rinegoziare
nominare	rinominare
organizzare	riorganizzare
pubblicare	ripubblicare
regolare	riregolare
scoprire	riscoprire
scrivere	riscrivere
sparare	risparare
spedire	rispedire
sposare	risposare
stabilire	ristabilire
succedere	risuccedere
svegliare	risvegliare
trasferire	ritrasferire
valutare	rivalutare
