accedere	accessibile
accettare	accettabile
adattare	adattabile
adorare	adorabile
affidare	affidabile
ammirare	ammirabile
apprendere	apprendibile
comprendere	comprensibile
consegnare	consegnabile
considerare	considerabile
consigliare	consigliabile
contenere	contenibile
credere	credibile
definire	definibile
eseguire	eseguibile
espandere	espandibile
estendere	estensibile
evitare	evitabile
gestire	gestibile
gettare	gettabile
godere	godibile
gonfiare	gonfiabile
identificare	identificabile
immaginare	immaginabile
mantenere	mantenibile
migliorare	migliorabile
modificare	modificabile
osservare	osservabile
ottimizzare	ottimizzabile
predire	predicibile
preferire	preferibile
prevenire	prevenibile
pubblicare	pubblicabile
raccomandare	raccomandabile
raggiungere	raggiungibile
rappresentare	rappresentabile
regolare	regolabile
riconoscere	riconoscibile
rinnovare	rinnovabile
scalare	scalabile
scaricare	scaricabile
scrivere	scrivibile
sostenere	sostenibile
sostituire	sostituibile
spiegare	spiegabile
tarare	tarabile
trattare	trattabile
tutelare	tutelabile
variare	variabile
vivere	vivibile
