abbonarsi	abbonato
animare	animatore
annunciare	annunciatore
ascoltare	ascoltatore
assassinare	assassino
comporre	compositore
condurre	conduttore
consumare	consumatore
contendere	contendente
coreografare	coreografo
credere	credente
difendere	difensore
distruggere	distruttore
editare	editore
esaminare	esaminatore
eseguire	esecutore
esplorare	esploratore
fornire	fornitore
gestire	gestore
iniziare	iniziatore
insegnare	insegnante
inseguire	inseguitore
interpretare	interprete
intrattenere	intrattenitore
inventare	inventore
lavorare	lavoratore
liberare	liberatore
mangiare	mangiatore
molestare	molestatore
organizzare	organizzatore
osservare	osservatore
paracadutarsi	paracadutista
parlare	parlante
perdere	perdente
pitturare	pittore
predicare	predicatore
promuovere	promotore
pubblicare	pubblicatore
raccomandare	raccomandatore
ricevere	ricevitore
salvare	salvatore
scoprire	scopritore
scrivere	scrittore
segnalare	segnalatore
spalare	spalatore
spedire	speditore
stuprare	stupratore
sviluppare	sviluppatore
tentare	tentatore
uccidere	uccisore
