abbreviare	abbreviazione
abilitare	abilitazione
accelerare	accelerazione
ammirare	ammirazione
aspirare	aspirazione
autorizzare	autorizzazione
caratterizzare	caratterizzazione
colonizzare	colonizzazione
compilare	compilazione
condensare	condensazione
configurare	configurazione
consultare	consultazione
continuare	continuazione
correggere	correzione
degradare	degradazione
demolire	demolizione
derivare	derivazione
determinare	determinazione
dichiarare	dichiarazione
esplorare	esplorazione
globalizzare	globalizzazione
illuminare	illuminazione
immaginare	immaginazione
improvvisare	improvvisazione
installare	installazione
internazionalizzare	internazionalizzazione
ispirare	ispirazione
maggiorare	maggiorazione
massimizzare	massimizzazione
minimizzare	minimizzazione
misurare	misurazione
modernizzare	modernizzazione
mutare	mutazione
normalizzare	normalizzazione
obbligare	obbligazione
occupare	occupazione
organizzare	organizzazione
osservare	osservazione
ottimizzare	ottimizzazione
personalizzare	personalizzazione
preparare	preparazione
privare	privazione
privatizzare	privatizzazione
realizzare	realizzazione
restaurare	restaurazione
riorganizzare	riorganizzazione
ristrutturare	ristrutturazione
specializzarsi	specializzazione
stabilizzare	stabilizzazione
visualizzare	visualizzazione
