adempiere	adempimento
allacciare	allacciamento
allagare	allagamento
allenare	allenamento
allevare	allevamento
allineare	allineamento
assorbire	assorbimento
biforcare	biforcamento
bilanciare	bilanciamento
bombardare	bombardamento
calpestare	calpestamento
cambiare	cambiamento
camuffare	camuffamento
cancellare	cancellamento
coinvolgere	coinvolgimento
compiere	compimento
dirottare	dirottamento
dislocare	dislocamento
distaccare	distaccamento
divertire	divertimento
emendare	emendamento
godere	godimento
gradire	gradimento
illuminare	illuminamento
incoraggiare	incoraggiamento
indurire	indurimento
intrattenere	intrattenimento
inturgidire	inturgidimento
invecchiare	invecchiamento
investire	investimento
licenziare	licenziamento
livellare	livellamento
maltrattare	maltrattamento
migliorare	miglioramento
occultare	occultamento
ordinare	ordinamento
orientare	orientamento
oscurare	oscuramento
pagare	pagamento
raggiungere	raggiungimento
raggruppare	raggruppamento
riassorbire	riassorbimento
riconoscere	riconoscimento
risentire	risentimento
rodere	rodimento
sbarrare	sbarramento
sfinire	sfinimento
sostentare	sostentamento
spostare	spostamento
tradire	tradimento
