Abuja	Nigeria
Amman	Giordania
Ankara	Turchia
Atene	Grecia
Baghdad	Iraq
Bangkok	Thailandia
Beirut	Libano
Belgrado	Serbia
Berlino	Germania
Berna	Svizzera
Bruxelles	Belgio
Bucarest	Romania
Budapest	Ungheria
Cairo	Egitto
Canberra	Australia
Conakry	Guinea
Copenhagen	Danimarca
Dacca	Bangladesh
Damasco	Siria
Dublino	Irlanda
Hanoi	Vietnam
Havana	Cuba
Helsinki	Finlandia
Islamabad	Pakistan
Jakarta	Indonesia
Kabul	Afghanistan
Kiev	Ucraina
Kingston	Giamaica
Lima	Perù
Lisbona	Portogallo
Londra	Inghilterra
Madrid	Spagna
Manila	Filippine
Mosca	Russia
Nairobi	Kenya
Oslo	Norvegia
Ottawa	Canada
Parigi	Francia
Pechino	Cina
Roma	Italia
Santiago	Cile
Sofia	Bulgaria
Stoccolma	Svezia
Taipei	Taiwan
Tbilisi	Georgia
Tehran	Iran
Tokyo	Giappone
Varsavia	Polonia
Vienna	Austria
Zagabria	Croazia
