Andorra	catalano
Argentina	spagnolo
Australia	inglese
Austria	tedesco
Bahamas	inglese
Bangladesh	bengali
Barbados	inglese
Belize	inglese
Bolivia	spagnolo
Brasile	portoghese
Cambogia	khmer
Canada	inglese/francese
Cile	spagnolo
Cipro	greco/turco
Colombia	spagnolo
Cuba	spagnolo
Danimarca	danese/faroese/groenlandese/tedesco
Ecuador	spagnolo/quechua
Egitto	arabo
Etiopia	amarico
Fiji	inglese
Filippine	tagalog/filippino
Giamaica	inglese/creolo
Giordania	arabo
Guadalupe	francese
Guam	inglese/chamorro
Guatemala	spagnolo
Guyana	inglese
Haiti	creolo/francese
Iran	farsi
Iraq	arabo/curdo
Irlanda	inglese/irlandese/gaelico
Israele	arabo/ebraico
Kazakistan	kazako/russo
Kosovo	albanese/serbo
Kuwait	arabo
Marocco	berbero/arabo
Messico	spagnolo/nahuatl
Moldavia	moldavo/rumeno
Mozambico	portoghese
Nicaragua	spagnolo
Norvegia	norvegese/bokmål/nynorsk
Olanda	olandese/frisone
Palestina	arabo
Perù	spagnolo
Russia	russo
Siria	arabo
Svizzera	tedesco/francese/italiano
Taiwan	cinese
Venezuela	spagnolo
