Andersen	scrittore/poeta/autore
Aristotele	filosofo
Balzac	scrittore
Beethoven	compositore
Cartesio	matematico/filosofo
Cesare	imperatore/comandante/capo
Colombo	esploratore
Confucio	filosofo
Dante	poeta
Darwin	naturalista/biologo/geologo
Depp	attore/produttore/musicista
Dickens	scrittore/produttore/critico/autore
Edison	inventore/imprenditore
Einstein	fisico/scienziato
Eulero	matematico/fisico/astronomo/logico/ingegnere
Goethe	poeta/drammaturgo/scrittore/produttore/autore
Hawking	fisico/scienziato
Haydn	compositore
Hegel	filosofo
Hitler	dittatore/politico
Hume	filosofo/politico
Jolie	attrice/regista/direttrice/attivista
Kant	filosofo
Keplero	matematico/fisico/astronomo/astrologo
Lincoln	presidente
Locke	filosofo
Marx	filosofo
Maxwell	fisico/scienziato
Mencio	filosofo
Michelangelo	scultore/pittore/architetto/artista/poeta/ingegnere
Mosè	profeta/capo
Mozart	compositore
Napoleone	imperatore/capo/politico/comandante
Newton	scienziato/matematico/fisico/filosofo
Pacino	attore/regista
Pascal	matematico/filosofo
Picasso	pittore/artista/scultore/designer
Platone	filosofo
Raffaello	pittore/artista/architetto
Rembrandt	pittore/incisore/artista
Rousseau	scrittore/autore/filosofo
Schwarzenegger	attore/politico
Shakespeare	drammaturgo/poeta
Spinoza	filosofo
Stalin	dittatore/politico/capo/statista
Strauss	compositore
Tolstoj	scrittore/produttore/filosofo
Truman	presidente
Wagner	compositore
Wittgenstein	filosofo/logico
