anatra	anatroccolo
ape	larva
asino	puledro
balena	balenottera
bisonte	cucciolo
bovino	vitello/giovenco
bue	vitello
bufalo	vitello
cammello	puledro
cane	cagnolino
capra	capretto
castoro	cucciolo
cavallo	puledro
cervo	cerbiatto
cicala	ninfa
coniglio	coniglietto
elefante	elefantino
farfalla	larva/pupa/caterpillar/crisalide
foca	cucciolo
formica	larva
furetto	cucciolo
gabbiano	pulcino
gallina	pulcino
gatto	gattino
gorilla	cucciolo
grillo	larva
insetto	larva
leone	leoncino
lupo	lupacchiotto
maiale	maialino
mosca	larva
mucca	vitello
mulo	puledro
oca	ochetta
orso	cucciolo
panda	cucciolo
papera	paperotto
pecora	agnello
pesce	avannotto/uovo/larva/pesciolino
pollo	pulcino
rana	girino
rondine	rondinotto
rospo	girino
scarafaggio	larva
scimmia	scimmietta
scimpanzé	cucciolo
tasso	cucciolo
tigre	tigrotto
vespa	larva
volpe	volpacchiotto
