anatra	stagno/nido
ape	alveare
aringa	mare
babbuino	boschetto/albero/gabbia
balena	mare
bovino	stalla
calabrone	nido
cane	canile/casa/cuccia
castoro	diga/fiume
cavallo	stalla/campo
cincillà	nido/gabbia
coccodrillo	fiume/lago
coniglio	tana/nido/gabbia
corvo	nido/gabbia
criceto	nido/gabbia
cuculo	nido
delfino	mare
foca	tana/acquario/mare
formica	formicaio/insettario/terrario
gatto	cuccia
gorilla	boschetto/albero/gabbia
grillo	nido
insetto	nido/gabbia
ippopotamo	fiume/lago
leone	tana/gabbia/savana
lepre	tana
locusta	nido
lupo	tana/gabbia
maiale	porcile
marmotta	tana
mosca	nido
orso	tana/gabbia
pesce	mare/lago/fiume/acquario
pipistrello	grotta/gabbia
ragno	nido/terrario/ragnatela
ratto	tana
riccio	nido
scarafaggio	nido
scimmia	albero/grotta/gabbia
scimpanzé	boschetto/albero/gabbia
scorpione	nido/terrario
serpente	tana
talpa	buco/nido
termite	nido/terrario/termitaio
tigre	tana/gabbia
topo	tana
trota	fiume/lago/acquario/stagno/vasca
uccello	nido
vespa	nido
volpe	tana/gabbia
