albero	verde/marrone
ananas	giallo
banana	gialla
broccolo	verde
caffè	marrone
carbone	nero
carota	arancione
carta	bianca
cavolfiore	bianco/verde
cavolo	verde
cetriolo	verde
cielo	blu/azzurro
cigno	bianco/nero/grigio
ciliegia	rossa
cioccolato	bianco/marrone/nero
corvo	nero
crema	gialla
dentifricio	bianco
erba	verde
foglia	verde/rossa/gialla/marrone
formica	nera/marrone/rossa
latte	bianco
lavagna	nera/bianca
livido	blu/viola
mare	blu/azzurro
mela	rossa/gialla/verde
mirtillo	viola/blu/nero
neve	bianca
nube	bianca/grigia
patata	marrone/gialla
peonia	rossa/bianca/rosa/viola
pepe	nero/rosso/verde
pomodoro	rosso
prezzemolo	verde
rana	verde/marrone/grigia
ravanello	rosso/rosa/bianco
rosa	rossa/gialla/bianca/blu
rubino	rosso
sale	bianco/rosa
sangue	rosso
sedano	verde/bianco/marrone
smeraldo	verde
sole	giallo/rosso
spinaci	verdi
suolo	nero/marrone
tè	nero/verde/bianco/rosso/marrone/giallo
uva	nera/rossa/verde
yogurt	bianco
zaffiro	blu
zucchero	bianco/marrone
