assassino	assassina
attore	attrice
ballerino	ballerina
cameriere	cameriera
cane	cagna
cavallo	cavalla
cervo	cerva
cinghiale	scrofa
dio	dea
direttore	direttrice
doppiatore	doppiatrice
dottore	dottoressa
duca	duchessa
eroe	eroina
figlio	figlia
fornaio	fornaia
fratello	sorella
gallo	gallina
imperatore	imperatrice
infermiere	infermiera
leone	leonessa
maestro	maestra
marito	moglie
montone	pecora
netturbino	netturbina
nipotino	nipotina
nonno	nonna
padre	madre
papà	mamma
parrucchiere	parrucchiera
patrigno	matrigna
pescatore	pescatrice
pittore	pittrice
poeta	poetessa
poliziotto	poliziotta
presentatore	presentatrice
presidente	presidentessa
principe	principessa
professore	professoressa
ragazzo	ragazza
re	regina
scultore	scultrice
signore	signora
sposo	sposa
studente	studentessa
superuomo	superdonna
toro	mucca
uomo	donna
valletto	valletta
zio	zia
