allosauro	dinosauro/rettile/uccello/arcosauro
anaconda	serpente/rettile/boa/serpente
anatra	uccello/vertebrato/pollame/creatura/bestia/essere/animale/organismo/fauna/cordato/craniata
ape	insetto/invertebrato/creatura/bestia/essere/animale/insetto/organismo/fauna/artropodo/imenottero
aquila	uccello/vertebrato/creatura/bestia/essere/animale/organismo/fauna/cordato/craniata
avvoltoio	uccello/vertebrato/creatura/bestia/essere/animale/organismo/fauna/cordato/craniata
bufalo	bovide/mammifero/mucca/vertebrato/creatura/ungulato/bestia/essere/animale/organismo/fauna/placentare/ruminante/cordato/bovino
cane	canino/vertebrato/creatura/bestia/canide/essere/animale/organismo/fauna/placentare/carnivoro/cordato/mammifero/craniata
capra	bovide/mammifero/vertebrato/ungulato/animale/essere/organismo/fauna/placentare/cordato/mammifero/craniata
castoro	roditore/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/cordato/mammifero
cavallo	bovide/mammifero/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/equino/equide/craniata
cervo	bovide/mammifero/vertebrato/creatura/ungulato/animale/essere/organismo/fauna/placentare/ruminante/cordato/bovino/craniata
cincillà	roditore/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/cordato/mammifero/craniata
cobra	serpente/rettile/elapide
coyote	canino/vertebrato/creatura/bestia/canide/essere/animale/organismo/fauna/placentare/carnivoro/cordato/mammifero/craniata
falco	uccello/vertebrato/creatura/bestia/essere/animale/organismo/fauna/cordato/craniata
farfalla	insetto/creatura/bestia/lepidottero/animale/organismo/fauna/artropode
formica	insetto/invertebrato/creatura/bestia/essere/animale/organismo/fauna/artropode/imenottero
gatto	felino/bestia/animale/organismo/fauna/placentare/carnivoro/cordato/felide/mammifero
giaguaro	felino/bestia/animale/organismo/fauna/placentare/carnivoro/cordato/felide/mammifero
gibbone	primate/vertebrato/creatura/bestia/essere/animale/organismo/fauna/placentare/cordato/mammifero/craniata
gorilla	primate/vertebrato/creatura/bestia/essere/animale/organismo/fauna/placentare/ominide/cordato/mammifero/craniata
gufo	uccello/vertebrato/creatura/bestia/essere/animale/organismo/fauna/cordato/craniata
leone	felino/bestia/animale/organismo/fauna/placentare/carnivoro/cordato/felide/mammifero
leopardo	felino/bestia/animale/organismo/fauna/placentare/carnivoro/cordato/felide/mammifero
lupo	canino/vertebrato/creatura/bestia/canide/essere/animale/organismo/fauna/placentare/carnivoro/cordato/mammifero/craniata
mamba	serpente/rettile/elapide
mucca	bovide/mammifero/bestiame/vertebrato/creatura/ungulato/bestia/essere/animale/organismo/fauna/placentare/ruminante/cordato/craniata
oca	uccello/vertebrato/pollame/creatura/bestia/essere/animale/organismo/fauna/cordato/craniata
orango	primate/vertebrato/creatura/bestia/essere/animale/organismo/fauna/placentare/cordato/mammifero/craniata
pollo	uccello/vertebrato/pollame/creatura/bestia/essere/animale/organismo/fauna/cordato/gallinaceo
pony	mammifero/cavallo/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/equino/equide/craniata
porcospino	roditore/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/cordato/mammifero/craniata
quaglia	uccello/vertebrato/pollame/creatura/bestia/essere/animale/organismo/fauna/cordato/gallinaceo
ratto	roditore/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/cordato/mammifero/craniata
scarafaggio	insetto/invertebrato/creatura/bestia/essere/animale/insetto/organismo/fauna/artropode
sciacallo	canino/vertebrato/creatura/bestia/canide/essere/animale/organismo/fauna/placentare/carnivoro/cordato/mammifero/craniata
scimpanzé	primate/vertebrato/creatura/bestia/essere/animale/organismo/fauna/placentare/ominide/cordato/mammifero/craniata
scoiattolo	roditore/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/cordato/mammifero/craniata
serpente	rettile
stegosauro	dinosauro/rettile
tacchino	uccello/vertebrato/pollame/creatura/bestia/essere/animale/organismo/fauna/cordato/gallinaceo
tigre	felino/bestia/animale/organismo/fauna/placentare/carnivoro/cordato/felide/mammifero/craniata
tirannosauro	dinosauro/rettile
topo	roditore/vertebrato/creatura/bestia/animale/organismo/fauna/placentare/cordato/mammifero/craniata
triceratopo	dinosauro/rettile
umano	primate/vertebrato/creatura/bestia/essere/animale/organismo/fauna/placentare/cordato/mammifero/craniata
velociraptor	dinosauro/rettile
vipera	serpente/rettile
volpe	canino/vertebrato/creatura/bestia/canide/essere/animale/organismo/fauna/placentare/carnivoro/cordato/mammifero/craniata
