agrume	limone/arancio/lime/mandarino/yuzu
albero	abete/acacia/acero/betulla/sempreverde/bonsai/baobab/canfora/castagno/cedro/pioppo/faggio/larice/ippocastano/olmo/palma/pino/quercia/salice/ulivo
arma	carabina/antiaereo/cannone/pistola/arco/freccia/dardo/lanciafiamme/coltello/missile/proiettile/lancia/spada/lama/tomahawk/ascia
barca	traghetto/arca/chiatta/battello/gondola/scialuppa/motoscafo/barcone/rimorchiatore/yacht/vela/canoa/kayak
bevanda	succo/centrifugato/aranciata/limonata/cedrata/chinotto/cola/latte/infuso/caffè/cappuccino/tè/mate/tisana/birra/vino/spumante/champagne/sidro/amaro/cocktail
borsa	marsupio/sacchetto/busta/sacca/zaino/tracolla
bottiglia	borraccia/thermos/ampolla/fiaschetta
cancelleria	matita/portamina/correttore/penna/evidenziatore/agenda/quaderno/colla/perforatore/forbici/taglierino
canzone	inno/aria/ballata/canzoncina/requiem
caramella	lecca-lecca/tortino/bonbon/confetto/liquirizia/marshmallow/marzapane/torrone/pralina/tartufo
carburante	benzina/gas/metano/idrogeno
chiesa	cappella/abbazia/basilica/cattedrale/duomo
chitarra	ukulele/basso/cetra
colore	bianco/nero/blu/verde/rosso/giallo/arancione/viola/magenta/rosa/azzurro/ciano/indaco/marrone/grigio
computer	laptop/desktop/tablet/smartphone/supercomputer/iphone/ipad
contenitore	sacchetto/borsa/portafoglio/ciotola/box/scatola/cassetta/tazza/piatto/cassetto/cassonetto/busta/bottiglia/pacchetto/vaschetta/vaso/boccetta/recipiente/teca/capsula/cestino/borsa
dolce	torta/mousse/budino/tiramisù/zabaione/gelato/sundae/frappè/lecca-lecca/ghiacciolo/sorbetto
elettrodomestico	aspirapolvere/forno/frigorifero/radio/telecomando/televisore/lavasciuga/lavatrice/lavastoviglie/congelatore/condizionatore/frullatore/friggitrice/gelatiera/spremiagrumi/ventilatore
emozione	rabbia/collera/ira/ansia/paura/timore/spavento/odio/gioia/amore/furia/follia/indignazione/preoccupazione/sconcerto/nervosismo/disagio/inquietudine/scrupolo/apprensione/imbarazzo/soddisfazione/felicità/infelicità/sgomento/costernazione/terrore/isteria/panico/timidezza/orrore/abominio/disprezzo/ostilità/inimicizia/malevolenza/malignità/misantropia/misogamia/misoginia/leggerezza/euforia/eccitazione/esuberanza/esultanza/giubilo/ardore/benevolenza/devozione/amorevolezza/infatuazione/adorazione/esasperazione/dispiacere/frustrazione/tormento/beatitudine/tristezza/dolore/suspense/trepidazione/diffidenza/insicurezza/aggressività/animosità/belligeranza/risentimento/rancore/vendetta/trionfo/illuminazione/lutto/esitazione/invidia/cupidigia/gelosia
felino	leone/tigre/leopardo/giaguaro/ghepardo/puma/lince/gatto
ferrovia	monorotaia/funicolare/metropolitana/rotaia
film	animazione/avventura/azione/biografico/commedia/documentario/drammatico/porno/fantascienza/horror/musical/thriller/western
fiore	anemone/azalea/bucaneve/ciclamino/fiordaliso/garofano/giglio/ibisco/iris/margherita/lavanda/narciso/ortensia/peonia/rosa/primula/tulipano
frutto	albicocca/anguria/banana/cachi/ciliegia/fico/fragola/kiwi/lampone/mela/melograno/melone/mirtillo/mora/nespola/pera/pesca/prugna/ribes/uva
giocattolo	bambola/palla/palloncino/dondolo/frisbee/hula-hoop/caleidoscopio/aquilone/lego/girandola/fionda/orsacchiotto/orsetto/trenino/yo-yo
gioiello	diamante/rubino​​/perla/smeraldo/zaffiro/braccialetto/bijou/gemello/orecchino/gemma/collana/anello/solitairio/spilla
giorno	infrasettimanale/feriale/festivo/lunedì/martedì/mercoledì/giovedì/venerdì/sabato/domenica
hamburger	cheeseburger
letto	cuccetta/culla/divano/baldacchino/amaca/capezzale
libro	brossura/album/rivista/romanzo/schizzo/notebook
macchina	limousine/cabriolet/ambulanza/bus/macinino/taxi/coupé/pattuglia/jeep/minicar/minivan/biposto/monoposto/berlina/suv/utilitaria/touring
maglione	dolcevita/cardigan/pullover
malattia	artrite/artrosi/aterosclerosi/cefalea/dermatite/diabete/febbre/gastrite/ipertensione/meningite/osteoporosi/schizofrenia/scoliosi/influenza/raffreddore/tumore
mensola	scaffale/piano
mese	gennaio/febbraio/marzo/aprile/maggio/giugno/luglio/agosto/settembre/ottobre/novembre/dicembre
mobile	credenza/armadio/tavolo/sedia/baule/letto/comodino
nube	nuvola/condensa/cumulonembo/cumulo
pittura	acquerello/paesaggio/miniatura/murale/affresco/graffito
poesia	haiku/abecedario/ballata/elegia/poema/lirica/sonetto/strofa/rima/verso
posate	coltello/forchetta/cucchiaio/cucchiaino
sacchetto	zaino/borsone/busta/borsa/valigia/sacco/cartella
scarpe	sneakers/zoccoli/stivali/mocassini/sandali
spazzola	spazzolino/setola/pennello
spezia	pepe/cumino/cardamomo/cannella/coriandolo/aneto/finocchio/aglio/zenzero/rafano/jalapeño/ginepro/liquirizia/senape/cipolla/paprica/zafferano/sale/sesamo/anice/tabasco/tamarindo/curcuma
stagione	autunno/primavera/estate/inverno
tazza	bicchiere/calice/graal/tazzina
telecamera	videocamera/cinepresa/polaroid/webcam
verdura	asparago/broccolo/carciofo/carota/cavolfiore/cavolo/verza/cetriolo/fungo/cicoria/cipolla/insalata/melanzana/oliva/patata/peperone/pomodoro/zucca/zucchina
vestito	abito/maglietta/pantaloni/gonna
videogioco	sparatutto/picchiaduro/stealth/horror/simulatore/sportivo/manageriale/strategia/rompicapo
