acrobata	circo
albero	foresta/bosco
alunno	classe/scuola
antilope	mandria
ape	sciame/alveare/colonia/nido
bue	mandria
cane	muta
cantante	coro/gruppo/duo/trio/quartetto
canzone	album/raccolta
cittadino	paese/stato/città
contea	stato/paese
cristiano	congregazione/chiesa/parrocchia
dipendente	personale
divisione	società/impresa
elefante	mandria
fiore	bouquet
foto	album/raccolta
galassia	universo
gallina	nugolo
giocatore	team/gruppo/squadra
giurato	giuria
isola	arcipelago
leone	branco
lettera	alfabeto
libro	libreria/mensola/raccolta/biblioteca
lupo	branco
membro	club/team/gruppo/banda/comunità
mucca	mandria
musicista	orchestra/banda
nave	flotta
nomade	orda
oca	branco/matassa
pagina	libro/notebook/sito
parola	paragrafo/frase/testo
parrocchiano	parrocchia/chiesa
pecora	gregge
persona	folla
pesce	banco
pino	pineta
pirata	ciurma
poliziotto	polizia
quadro	pinacoteca
segretario	segreteria
senatore	senato
soldato	esercito/unità/divisione/truppa
spettatore	pubblico
stella	costellazione/galassia
turista	comitiva
uccello	stormo
vitello	bestiame
