accademia	college/università/istituto
albero	radice/tronco/corteccia/foglia/ramo/frutto/chioma/fiore
appartamento	camera/bagno/cucina/dispensa/bagno/soffitta
autobus	sedile/conducente/finestrino/tetto
bit	kilobit/megabit/gigabit
byte	bit
castello	torre/torretta/cancello/prigione/fossato
cavallo	criniera/coda/zampa/groppa/zoccolo/garrese
cervo	corno/garrese
chiesa	altare/coro/sagrestia/transetto/santuario/navata/cappella/abside/presbiterio
chitarra	corda/ponte/plettro
corpo	petto/sedere/spalla/culo/diaframma/inguine/deltoide/pettorale/didietro/gluteo/stomaco/torace/addominali/sterno/coscia/posteriore/natiche/poppe/tette/ombelico/pancia/ascella/ventre/cistifellea/guancia/vita/testa/intestino/fianchi/dorso/addome/scapola/anca/seno/arteria/aorta/vena/muscolo/osso
dollaro	centesimo
famiglia	madre/padre/figlio/nonno/nonna
film	scena/sottotitoli/puntata/sequenza
finestra	pannello/telaio/vetro/chiusura/davanzale/intelaiatura
fiore	petalo/foglia/stame/pistillo/corolla/sepalo/corona
gamba	femore/anca/coscia/ginocchio/polpaccio/caviglia
gatto	baffo/pelliccia/zampa/occhio/schiena/artigli/coda/dente
gioiello	perla/pietra/perlina/gemma/metallo/oro/argento/platino
giorno	ora/mattinata/sera/nanosecondo/mezzogiorno/femtosecondo/minuto/microsecondo/tempo/mezzanotte/secondo/notte/mattina/picosecondo/pomeriggio/millisecondo
grammo	milligrammo/microgrammo/decigrammo/nanogrammo
grembo	cervice/placenta/endometrio
linguistica	fonetica/fonologia/morfologia/sintassi/semantica/pragmatica/grammatica/sociolinguistica/glottologia
litro	millilitro/centilitro/decilitro
lungomare	porto/rifugio
macchina	motore/bracciolo/poggiatesta/griglia/cerniera/marmitta/sospensione/sirena/benzina/clacson/sportello/sedile/finestrino/scarico/bagagliaio/pedale/acceleratore/frizione/freno/cintura/diesel/gasolio/vano/radiatore/tettuccio/cruscotto/fanale/abbagliante/fendinebbia/airbag/schienale/parafango/marcia/cofano/ingranaggio/motore/specchietto/lunotto
mano	pollice/indice/medio/anulare/mignolo/dito/unghia/falange
matematica	aritmetica/algebra/geometria/topologia/analisi/probabilità/statistica/insiemistica/trigonometria
metro	decimetro/centimetro/millimetro
montagna	cima/piede/valle/ghiacciaio/vetta/passo/versante
nave	prua/poppa/ponte/albero/oblò/timone
ortografia	sillabazione/punteggiatura
pettine	dente/maniglia
pianoforte	tastiera/martello/suono/pedale/chiave
pistola	grilletto/sicura/caricatore/canna/mirino/cartuccia/espulsore
poesia	strofa/canto/prosodia/rima
porta	cerniera/serratura/soglia/stipite/bullone/catenaccio/chiave
porto	ormeggio/attracco
prigione	cella/guardia
pub	bar/salone
radio	ricevitore/sintonizzatore/demodulatore/trasmettitore/rilevatore/amplificatore
sedia	sedile/bracciolo/poggiatesta/schienale/gambe
spazzola	setola/manico/impugnatura
telefono	ricevitore/filo/schermo/display
tonnellata	kilogrammo/chilogrammo/grammo/milligrammo/quintale/kg/microgrammo/decigrammo/nanogrammo/decagrammo/etto
torta	riempimento/frutta/mela/bacca
uccello	piuma/piumaggio/ala/becco
vestito	zip/cerniera/chiusura/corsetto/scollatura
viso	occhio/naso/bocca/mento/fronte
