abito	abbigliamento/vestito
aereo	aeroplano
aiuto	assistenza
auto	automobile/macchina
bambino	infante/bimbo
bicicletta	bici/ciclo
buco	foro
bus	autobus/pullman
confuso	deconcentrato/disorientato/perso
demolire	abbattere/distruggere
divano	sofà
elenco	enumerazione
enfasi	accento/rilevanza/sforzo
felice	allegro/lieto/contento/sereno
furfante	farabutto
geroglifico	pittogramma
identico	stesso/indistinguibile
indietreggiare	arretrare/retrocedere
intelligente	smart
invadente	inopportuno
leale	fedele/affidabile
madre	mamma
mercato	bazar
monumento	memoriale
nemico	avversario/antagonista
nuocere	danneggiare
nuovo	moderno/recente
obsoleto	vetusto/desueto
omicidio	uccisione/esecuzione
omogeneo	uniforme/invariabile
onesto	sincero/vero/diretto/veritiero/franco
organizzato	configurato
pacchetto	pacco/scatola
padre	papà
pigro	indolente/infingardo
porzione	parte/componente/costituente
presa	appiglio
presente	attuale
ragionevole	sensibile
razionale	logico/coerente
roccia	sasso
scorretto	sbagliato/controfattuale/errato/impreciso/falso
signora	dama/gentildonna/donna
sposo	partner/compagno
stanco	esausto
stile	modo
stoffa	tessuto
telefono	cellulare/smartphone
ubriaco	ebbro
vocabolario	lessico/dizionario/glossario
