affermare	negare
anteriore	posteriore
arretrato	avanzato
ascendere	cadere/affondare
assumere	respingere/licenziare
avanti	dietro/indietro
bianco	nero
chiaro	scuro
davanti	dietro
dentro	fuori
dimenticare	ricordare/rammentare
diminuzione	incremento
dinamico	statico/immobile/immutabile
discesa	salita
dopo	prima
esteriore	interiore
esterno	interno
fortunato	sfortunato
frequente	infrequente
giù	su
immergere	emergere
ingresso	uscita
iniziare	finire
inizio	fine
input	output
inspirare	espirare
interno	esterno
limpido	opaco
mortale	immortale
morto	vivo
naturale	artificiale
occupato	libero
oriente	occidente
ovest	est
prima	dopo/successivamente/poi
primo	ultimo
riposato	sfinito
salita	discesa
settentrione	meridione
sopra	sotto
sotto	sopra
sporco	pulito
su	giù
sud	nord
sud-est	sud-ovest/nord-est
superiore	inferiore
tuffarsi	riemergere
uscita	ingresso
utile	superfluo/inutile
vero	falso/sbagliato
