afdeling	afdelingen
album	albums
applicatie	applicaties
auto	auto's
dag	dagen
ding	dingen
directeur	directeuren
dorp	dorpen
evenement	evenementen
feit	feiten
gebied	gebieden
gebruiker	gebruikers
gemeenteraad	gemeenteraden
god	goden
hogeschool	hogescholen
hulpbron	hulpbronnen
idee	ideeën
jaar	jaren
kantoor	kantoren
klant	klanten
koek	koeken
lid	leden
liedje	liedjes
maand	maanden
nacht	nachten
ontwikkeling	ontwikkelingen
oplossing	oplossingen
periode	periodes
populatie	populaties
probleem	problemen
product	producten
regering	regeringen
rivier	rivieren
rol	rollen
speler	spelers
stad	steden
sterfgeval	sterfgevallen
straat	straten
student	studenten
systeem	systemen
taal	talen
uur	uren
verschil	verschillen
versie	versies
voorbeeld	voorbeelden
vriend	vrienden
website	websites
week	weken
wet	wetten
wetenschap	wetenschappen
