Engelsman	Engelsen
Fransman	Fransen
aanwezigheid	aanwezigheden
bad	baden
bakker	bakkers
been	beenderen
blad	bladeren
dag	dagen
dinosaurus	sauriërs
edelman	edelen
ei	eieren
gelegenheid	gelegenheden
gelid	gelederen
gemoed	gemoederen
gevoel	gevoelens
glas	glazen
haai	haaien
hotel	hotels
jongen	jongens
kind	kinderen
koe	koeien
kraai	kraaien
kroket	kroketten
lerares	leraressen
lid	leden
lied	liederen
loket	loketten
mogelijkheid	mogelijkheden
overheid	overheden
raket	raketten
rebel	rebellen
schip	schepen
smid	smeden
spel	spelen
stad	steden
staf	staven
stuurman	stuurlui
tabel	tabellen
tafel	tafels
tante	tantes
timmerman	timmerlui
toestel	toestellen
tuinman	tuinlieden
vakman	vakmensen
verlof	verloven
vlo	vlooien
volk	volkeren
weg	wegen
zangeres	zangeressen
zeeman	zeelui/zeelieden
